EEG,64,0.01,150,LeakyReLU,100.0,83.14814814814815
EEG,64,0.01,150,ELU,99.81481481481481,80.0925925925926
EEG,64,0.01,150,ReLU,100.0,83.33333333333333
DeepConv,64,0.01,150,LeakyReLU,96.29629629629629,79.16666666666667
DeepConv,64,0.01,150,ELU,99.9074074074074,80.27777777777777
DeepConv,64,0.01,150,ReLU,96.48148148148148,77.31481481481481
EEG,64,0.001,300,LeakyReLU,100.0,84.25925925925925
EEG,64,0.001,300,ELU,100.0,81.75925925925925
EEG,64,0.001,300,ReLU,100.0,84.35185185185185
DeepConv,64,0.001,300,LeakyReLU,100.0,81.20370370370371
DeepConv,64,0.001,300,ELU,99.9074074074074,80.64814814814815
DeepConv,64,0.001,300,ReLU,100.0,80.92592592592592
